movieid,genres,year
1,Animation|Children's|Comedy,1995
2,Adventure|Children's|Fantasy,1995
4,Comedy|Drama,1995
5,Comedy,1995
9,Action,1995
13,Animation|Children's,1995
14,Drama,1995
16,Drama|Thriller,1995
17,Drama|Romance,1995
20,Action,1995
24,Drama|Sci-Fi,1995
32,Drama|Sci-Fi,1995
34,Children's|Comedy|Drama,1995
35,Drama|Romance,1995
37,Documentary,1995
62,Drama,1995
65,Comedy,1996
68,Comedy|Romance,1995
71,Action,1995
82,Drama,1995
83,Drama,1995
85,Drama|Romance,1995
87,Children's|Comedy,1996
96,Comedy,1995
97,Drama,1995
99,Documentary,1995
103,Thriller,1996
104,Comedy,1996
106,Comedy|Drama,1994
111,Drama|Thriller,1976
113,Drama|Mystery,1996
114,Drama,1995
119,Comedy,1995
123,Drama|Mystery|Romance,1994
133,Comedy|Drama,1995
136,Documentary,1995
138,Drama,1995
145,Action,1995
150,Drama,1995
154,Drama,1967
158,Adventure|Children's,1995
160,Action|Adventure|Mystery|Sci-Fi,1995
161,Drama|Thriller|War,1995
164,Crime|Film-Noir|Mystery|Thriller,1995
165,Action|Thriller,1995
166,Comedy|Drama,1995
168,Action|Adventure|Drama|Romance,1995
169,Adventure|Children's|Drama,1995
183,Thriller,1994
184,Drama,1994
186,Comedy,1995
187,Comedy,1995
195,Comedy|Drama|Romance,1995
200,Thriller,1995
203,Comedy,1995
204,Action,1995
209,Drama,1995
211,Drama,1994
212,Comedy,1995
214,Drama,1994
215,Drama|Romance,1995
216,Comedy,1995
223,Comedy,1994
236,Comedy|Romance,1995
240,Thriller,1995
245,Crime|Drama,1994
256,Comedy|Sci-Fi,1994
257,Mystery|Thriller,1995
261,Drama,1994
262,Children's|Drama,1995
263,Drama,1994
267,Comedy,1994
268,Drama,1994
270,Drama|Romance,1994
271,Drama,1995
274,Comedy,1995
291,Thriller,1995
292,Action|Drama|Thriller,1995
297,Drama,1995
305,Comedy,1994
309,Drama,1994
311,Horror|Thriller,1994
312,Comedy,1995
313,Animation|Children's,1994
315,Action,1994
316,Action|Adventure|Sci-Fi,1994
317,Children's|Comedy|Fantasy,1994
320,Film-Noir|Thriller,1993
328,Horror,1995
329,Action|Adventure|Sci-Fi,1994
330,Comedy|Horror,1995
332,Horror|Sci-Fi,1995
335,Mystery|Thriller,1995
337,Drama,1993
342,Comedy|Romance,1994
343,Children's,1995
354,Drama,1994
356,Comedy|Romance|War,1994
361,Drama|Romance,1994
362,Adventure|Children's|Romance,1994
364,Animation|Children's|Musical,1994
368,Action|Comedy|Western,1994
374,Children's|Comedy,1994
377,Action|Romance|Thriller,1994
381,Drama,1994
385,Drama,1994
391,Crime|Drama,1994
398,Documentary,1995
401,Action|Thriller,1995
407,Horror|Thriller,1995
413,Comedy,1994
428,Drama,1993
436,Drama|Thriller,1994
440,Comedy|Romance,1993
441,Comedy,1993
447,Comedy|Romance,1994
452,Drama,1994
454,Drama|Thriller,1993
457,Action|Thriller,1993
460,Comedy,1994
465,Action|Drama|War,1993
468,Comedy|Romance,1995
471,Comedy|Romance,1994
472,Comedy|Drama,1994
477,Drama,1993
479,Action,1993
483,Drama,1993
485,Action|Comedy,1993
489,Comedy,1993
493,Action|Crime|Drama,1993
494,Action|Thriller,1996
499,Comedy|Romance,1993
501,Drama,1993
502,Action|Children's,1994
511,Action|Drama,1993
515,Drama,1993
518,Comedy,1994
519,Sci-Fi|Thriller,1993
522,Action|Drama,1992
523,Drama,1993
525,Drama,1993
526,Drama,1992
527,Drama|War,1993
528,Drama,1994
530,Drama,1994
534,Drama|Romance,1993
544,Action,1993
546,Action|Adventure|Children's|Sci-Fi,1993
549,Documentary,1993
551,Children's|Comedy|Musical,1993
555,Action|Crime|Romance,1993
560,Drama,1994
564,Comedy,1994
567,Drama,1993
577,Adventure|Children's,1994
578,Drama|Mystery,1993
585,Comedy,1995
587,Comedy|Romance|Thriller,1990
592,Action|Adventure|Crime|Drama,1989
594,Animation|Children's|Musical,1937
596,Animation|Children's,1940
598,Comedy,1994
606,Horror,1995
608,Crime|Drama|Thriller,1996
609,Adventure|Children's,1996
611,Action|Horror|Sci-Fi,1996
613,Drama|Romance,1996
617,Drama,1995
619,Comedy,1996
628,Drama|Thriller,1996
633,Comedy,1995
642,Drama,1995
647,Drama|War,1996
649,Comedy|Drama,1994
650,Drama,1996
652,Mystery,1995
658,Drama,1995
670,Drama,1959
671,Comedy|Sci-Fi,1996
673,Adventure|Animation|Children's|Comedy|Fantasy,1996
674,Adventure|Sci-Fi,1968
681,Crime,1981
687,Drama|Romance,1994
691,Comedy|Romance,1996
701,Drama,1992
706,Drama,1996
712,Drama,1994
718,Comedy|Sci-Fi,1993
726,Drama,1996
748,Action|Sci-Fi|Thriller,1996
749,Drama,1943
757,Drama,1994
760,War,1993
762,Comedy|Crime,1996
767,Drama,1995
785,Comedy,1996
790,Drama,1994
792,Fantasy,1987
798,Action|Adventure|Thriller,1996
800,Drama|Mystery,1996
803,Romance,1996
809,Action|Adventure,1996
831,Drama,1995
835,Drama,1996
837,Children's|Comedy,1996
839,Action|Thriller,1996
840,Comedy,1996
